dataset,accuracy_roberta,acc_pos_roberta,acc_neg_roberta,accuracy_siebert,acc_pos_siebert,acc_neg_siebert,accuracy_distilbert,acc_pos_distilbert,acc_neg_distilbert
sentence_not_0,1.0,1.0,1.0,0.9857142857142858,0.9722222222222222,1.0,0.9571428571428572,0.9444444444444444,0.9705882352941176
sentence_not_1,0.9571428571428572,0.9722222222222222,0.9411764705882352,0.9857142857142858,1.0,0.9705882352941176,1.0,1.0,1.0
sentence_not_2,0.1142857142857142,0.1111111111111111,0.1176470588235294,0.0285714285714285,0.0,0.0588235294117647,0.0142857142857142,0.0,0.0294117647058823
sentence_not_3,0.4,0.4166666666666667,0.3823529411764705,0.8714285714285714,1.0,0.7352941176470589,0.9857142857142858,0.9722222222222222,1.0
sentence_not_0_aux,0.8142857142857143,0.6944444444444444,0.9411764705882352,0.7285714285714285,0.5833333333333334,0.8823529411764706,0.9142857142857144,0.8888888888888888,0.9411764705882352
sentence_not_1_aux,0.7285714285714285,0.9166666666666666,0.5294117647058824,0.6714285714285714,0.9444444444444444,0.3823529411764705,0.9,0.9444444444444444,0.8529411764705882
sentence_not_1_contraction,0.9285714285714286,0.9722222222222222,0.8823529411764706,0.9857142857142858,1.0,0.9705882352941176,0.9857142857142858,1.0,0.9705882352941176
sentence_not_2_contraction,0.8571428571428571,0.8888888888888888,0.8235294117647058,0.2142857142857142,0.1388888888888889,0.2941176470588235,0.0,0.0,0.0
sentence_not_beginning_not,0.1,0.1764705882352941,0.0277777777777777,0.1285714285714285,0.2647058823529412,0.0,0.0285714285714285,0.0588235294117647,0.0
